分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,性生活疼痛,4,13,17,100.0,100.0
All,性生活疼痛,4,13,17,,
