分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,是否绝经,3,16,19,60.0,72.73
1,是否绝经,2,6,8,40.0,27.27
All,是否绝经,5,22,27,,
<2,产次,2,12,14,40.0,54.55
≥2,产次,3,10,13,60.0,45.45
All,产次,5,22,27,,
>1,术前C,5,22,27,100.0,100.0
All,术前C,5,22,27,,
