宫颈部分截除术分组,变量,均值,标准差
宫颈部分截除术=0,年龄,63.25,6.702
宫颈部分截除术=0,随访时间,5.5,1.9149
宫颈部分截除术=0,BMI,23.2871,3.6205
宫颈部分截除术=0,手术时间,147.0,79.3263
宫颈部分截除术=0,术中出血,45.0,36.9685
宫颈部分截除术=1,年龄,55.4615,14.4084
宫颈部分截除术=1,随访时间,5.0769,1.4979
宫颈部分截除术=1,BMI,24.6005,2.2281
宫颈部分截除术=1,手术时间,224.1538,81.0595
宫颈部分截除术=1,术中出血,35.3846,51.2535
