宫颈部分截除术分组,变量,均值,标准差
宫颈部分截除术=0,年龄,57.4,13.8672
宫颈部分截除术=0,随访时间,6.2,1.9235
宫颈部分截除术=0,BMI,23.8798,3.9427
宫颈部分截除术=0,手术时间,198.0,120.2393
宫颈部分截除术=0,术中出血,47.0,34.9285
宫颈部分截除术=1,年龄,47.7273,11.7359
宫颈部分截除术=1,随访时间,5.3182,1.6729
宫颈部分截除术=1,BMI,24.3974,2.5503
宫颈部分截除术=1,手术时间,251.0455,84.096
宫颈部分截除术=1,术中出血,75.9091,73.7214
