分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,是否绝经,4,11,15,26.67,22.45
1,是否绝经,11,38,49,73.33,77.55
All,是否绝经,15,49,64,,
<2,产次,5,24,29,33.33,48.98
≥2,产次,10,25,35,66.67,51.02
All,产次,15,49,64,,
>1,术前C,11,32,43,73.33,65.31
≤1,术前C,4,17,21,26.67,34.69
All,术前C,15,49,64,,
