分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,性生活疼痛,5,20,25,100.0,90.91
1,性生活疼痛,0,2,2,0.0,9.09
All,性生活疼痛,5,22,27,,
