分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,是否绝经,0,8,8,0.0,61.54
1,是否绝经,4,5,9,100.0,38.46
All,是否绝经,4,13,17,,
<2,产次,4,5,9,100.0,38.46
≥2,产次,0,8,8,0.0,61.54
All,产次,4,13,17,,
>1,术前C,3,12,15,75.0,92.31
≤1,术前C,1,1,2,25.0,7.69
All,术前C,4,13,17,,
