分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,性生活疼痛,15,46,61,100.0,93.88
1,性生活疼痛,0,3,3,0.0,6.12
All,性生活疼痛,15,49,64,,
