宫颈部分截除术分组,变量,均值,标准差
宫颈部分截除术=0,年龄,60.7333,9.2772
宫颈部分截除术=0,随访时间,5.8667,1.8074
宫颈部分截除术=0,BMI,23.043,3.0247
宫颈部分截除术=0,手术时间,107.8667,66.0421
宫颈部分截除术=0,术中出血,55.6667,63.4954
宫颈部分截除术=1,年龄,61.551,9.4892
宫颈部分截除术=1,随访时间,5.2857,1.2076
宫颈部分截除术=1,BMI,23.6519,2.2475
宫颈部分截除术=1,手术时间,117.898,46.3138
宫颈部分截除术=1,术中出血,37.3469,31.0762
