分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,是否绝经,7,35,42,29.17,41.67
1,是否绝经,17,49,66,70.83,58.330000000000005
All,是否绝经,24,84,108,,
<2,产次,11,41,52,45.83,48.809999999999995
≥2,产次,13,43,56,54.169999999999995,51.190000000000005
All,产次,24,84,108,,
>1,术前C,19,66,85,79.17,78.57
≤1,术前C,5,18,23,20.830000000000002,21.43
All,术前C,24,84,108,,
HUS,分组,5,22,27,20.830000000000002,26.19
SC,分组,4,13,17,16.669999999999998,15.479999999999999
SSLF,分组,15,49,64,62.5,58.330000000000005
All,分组,24,84,108,,
