分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,性生活疼痛,24,79,103,100.0,94.05
1,性生活疼痛,0,5,5,0.0,5.949999999999999
All,性生活疼痛,24,84,108,,
