变量,变量类型,n(0组),n(1组),检验方法,前提条件检验,统计量,P值,效应量指标,效应量,结论
年龄,连续型,5,22,Mann-Whitney U,SW(0):p=0.0491; SW(1):p=0.0221,80.0,0.1257,Rank-biserial r,-0.4545,不能拒绝H0，无统计学差异
随访时间,连续型,5,22,Mann-Whitney U,SW(0):p=0.9276; SW(1):p=0.0009,72.0,0.2895,Rank-biserial r,-0.3091,不能拒绝H0，无统计学差异
BMI,连续型,5,22,Independent t-test,SW(0):p=0.1499; SW(1):p=0.0535; Levene:p=0.5251(equal=True),-0.3705,0.7141,Cohen's d,-0.1835,不能拒绝H0，无统计学差异
手术时间,连续型,5,22,Mann-Whitney U,SW(0):p=0.1548; SW(1):p=0.0082,30.5,0.1336,Rank-biserial r,0.4455,不能拒绝H0，无统计学差异
术中出血,连续型,5,22,Mann-Whitney U,SW(0):p=0.7132; SW(1):p=0.0005,46.5,0.6138,Rank-biserial r,0.1545,不能拒绝H0，无统计学差异
是否绝经,分类型,5,22,Fisher's Exact test,最小期望频数=1.48,0.5625,0.6159,Odds Ratio,0.5625,不能拒绝H0，无统计学差异
产次,分类型,5,22,Fisher's Exact test,最小期望频数=2.41,0.5556,0.6483,Odds Ratio,0.5556,不能拒绝H0，无统计学差异
术前C,分类型,5,22,Chi-square test,最小期望频数=5.00,0.0,1.0,Cramér's V,0.0,不能拒绝H0，无统计学差异
