变量名,类别,未手术组_计数,未手术组_百分比,已手术组_计数,已手术组_百分比
主观复发,0,11,73.33,45,91.84
主观复发,1,4,26.67,4,8.16
Ba≥-1,0,8,53.33,30,61.22
Ba≥-1,1,7,46.67,19,38.78
C≥-1,0,13,86.67,48,97.96
C≥-1,1,2,13.33,1,2.04
Bp≥-1,0,14,93.33,45,91.84
Bp≥-1,1,1,6.67,4,8.16
任一指示点≥-1,0,7,46.67,30,61.22
任一指示点≥-1,1,8,53.33,19,38.78
Ba>0,0,13,86.67,42,85.71
Ba>0,1,2,13.33,7,14.29
C>0,0,13,86.67,49,100.0
C>0,1,2,13.33,0,0.0
Bp>0,0,14,93.33,49,100.0
Bp>0,1,1,6.67,0,0.0
任一指示点＞0,0,11,73.33,42,85.71
任一指示点＞0,1,4,26.67,7,14.29
